image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,0.025,0.01,21.16,0.7026,497.8291936
00,0.045,0.02,22.13,0.7789,398.1808422
00,0.083,0.03,23.39,0.8568,297.9067618
00,0.136,0.05,24.57,0.8992,227.0284901
00,0.228,0.08,25.78,0.9327,171.8226294
00,0.388,0.14,27.38,0.9594,118.8722166
00,0.606,0.23,29.16,0.9771,78.9006100
00,0.971,0.36,31.39,0.9879,47.2150399
01,0.011,0.00,27.31,0.8124,120.8037347
01,0.015,0.01,28.70,0.8670,87.7163114
01,0.027,0.01,29.68,0.8894,69.9971505
01,0.045,0.02,30.51,0.9093,57.8203027
01,0.076,0.03,31.49,0.9308,46.1402944
01,0.139,0.05,32.57,0.9483,35.9815909
01,0.233,0.09,34.16,0.9671,24.9505636
01,0.397,0.15,35.87,0.9787,16.8298545
02,0.017,0.01,27.22,0.8700,123.3333025
02,0.024,0.01,28.88,0.9066,84.1550846
02,0.038,0.01,29.86,0.9264,67.1553104
02,0.059,0.02,30.82,0.9400,53.8369392
02,0.095,0.04,32.12,0.9568,39.9098744
02,0.156,0.06,33.49,0.9702,29.1125576
02,0.240,0.09,35.42,0.9820,18.6672507
02,0.371,0.14,37.45,0.9885,11.6971581
03,0.017,0.01,26.82,0.8242,135.2322771
03,0.025,0.01,28.19,0.8571,98.6462001
03,0.038,0.01,29.03,0.8794,81.2980934
03,0.061,0.02,29.93,0.9000,66.0815713
03,0.100,0.04,31.15,0.9303,49.8976808
03,0.171,0.06,32.38,0.9516,37.5906955
03,0.269,0.10,33.97,0.9715,26.0663583
03,0.433,0.16,35.68,0.9821,17.5824893
04,0.035,0.01,20.21,0.7647,619.5557057
04,0.062,0.02,21.39,0.8292,472.1503988
04,0.105,0.04,22.59,0.8826,358.1627046
04,0.174,0.06,24.07,0.9213,254.7301556
04,0.273,0.10,25.60,0.9494,179.0937214
04,0.433,0.16,27.65,0.9710,111.7069929
04,0.631,0.23,29.84,0.9842,67.4652852
04,0.943,0.35,32.54,0.9918,36.2310033
05,0.017,0.01,22.84,0.7301,338.1273967
05,0.029,0.01,23.48,0.7736,291.7966898
05,0.057,0.02,24.38,0.8331,237.1812540
05,0.100,0.04,25.49,0.8760,183.6878204
05,0.164,0.06,26.64,0.9173,140.9549594
05,0.286,0.11,28.44,0.9496,93.1280182
05,0.477,0.18,30.38,0.9720,59.5772374
05,0.711,0.26,32.90,0.9842,33.3488115
06,0.025,0.01,24.66,0.8386,222.3721325
06,0.041,0.02,26.31,0.8959,152.0828914
06,0.066,0.02,27.92,0.9333,104.9736652
06,0.100,0.04,29.43,0.9534,74.1447424
06,0.151,0.06,31.15,0.9705,49.8976808
06,0.225,0.08,32.85,0.9811,33.7349725
06,0.322,0.12,35.05,0.9893,20.3273311
06,0.468,0.17,37.29,0.9933,12.1361339
07,0.041,0.02,18.72,0.8008,873.1329160
07,0.074,0.03,20.09,0.8587,636.9133630
07,0.117,0.04,21.24,0.8979,488.7427868
07,0.188,0.07,22.80,0.9280,341.2560510
07,0.292,0.11,24.44,0.9524,233.9270052
07,0.461,0.17,26.47,0.9706,146.5819048
07,0.683,0.25,28.52,0.9827,91.4282403
07,1.035,0.39,31.25,0.9901,48.7618710
08,0.019,0.01,25.49,0.8655,183.6878204
08,0.029,0.01,27.10,0.9041,126.7886451
08,0.047,0.02,28.34,0.9319,95.2972484
08,0.070,0.03,29.70,0.9502,69.6755428
08,0.109,0.04,31.25,0.9654,48.7618710
08,0.168,0.06,32.84,0.9762,33.8127397
08,0.247,0.09,34.72,0.9845,21.9321072
08,0.366,0.14,36.72,0.9888,13.8382241
09,0.018,0.01,25.50,0.8260,183.2653501
09,0.029,0.01,26.71,0.8757,138.7012455
09,0.049,0.02,27.78,0.9066,108.4127500
09,0.077,0.03,29.09,0.9309,80.1826418
09,0.121,0.05,30.74,0.9548,54.8378426
09,0.188,0.07,32.41,0.9677,37.3319230
09,0.279,0.10,34.39,0.9815,23.6635752
09,0.417,0.16,36.37,0.9871,14.9996236
10,0.018,0.01,23.77,0.7963,272.9482793
10,0.031,0.01,24.71,0.8366,219.8266597
10,0.054,0.02,25.73,0.8727,173.8122417
10,0.092,0.03,26.81,0.8974,135.5440197
10,0.150,0.06,28.02,0.9278,102.5841728
10,0.256,0.10,29.51,0.9514,72.7914484
10,0.404,0.15,31.42,0.9728,46.8900138
10,0.648,0.24,33.65,0.9836,28.0595280
11,0.015,0.01,27.15,0.8411,125.3373075
11,0.021,0.01,28.37,0.8679,94.6412267
11,0.035,0.01,29.42,0.8913,74.3156637
11,0.055,0.02,30.28,0.9065,60.9649695
11,0.088,0.03,31.49,0.9333,46.1402944
11,0.154,0.06,32.76,0.9521,34.4413654
11,0.243,0.09,34.53,0.9713,22.9129159
11,0.387,0.14,36.39,0.9812,14.9307066
12,0.027,0.01,19.20,0.6529,781.7724486
12,0.052,0.02,20.02,0.7295,647.2623726
12,0.095,0.04,20.80,0.8023,540.8543922
12,0.169,0.06,21.84,0.8573,425.6771722
12,0.282,0.10,22.91,0.9069,332.7211136
12,0.499,0.19,24.64,0.9470,223.3985556
12,0.781,0.29,26.54,0.9715,144.2382222
12,1.243,0.46,29.19,0.9860,78.3574620
13,0.025,0.01,22.52,0.7496,363.9823804
13,0.042,0.02,23.67,0.8078,279.3060615
13,0.073,0.03,24.83,0.8621,213.8357730
13,0.120,0.04,25.98,0.8944,164.0893372
13,0.193,0.07,27.27,0.9283,121.9215179
13,0.325,0.12,28.90,0.9551,83.7684271
13,0.498,0.19,30.77,0.9746,54.4603416
13,0.781,0.29,33.03,0.9853,32.3653540
14,0.021,0.01,26.81,0.8737,135.5440197
14,0.028,0.01,28.09,0.8999,100.9439653
14,0.042,0.02,28.94,0.9192,83.0004335
14,0.065,0.02,29.84,0.9283,67.4652852
14,0.106,0.04,31.00,0.9505,51.6511935
14,0.179,0.07,32.27,0.9654,38.5549692
14,0.280,0.10,33.91,0.9791,26.4289775
14,0.449,0.17,35.79,0.9862,17.1427448
15,0.012,0.00,25.89,0.7713,167.5252832
15,0.020,0.01,26.62,0.8106,141.6055779
15,0.036,0.01,27.38,0.8533,118.8722166
15,0.061,0.02,28.13,0.8821,100.0185055
15,0.107,0.04,29.25,0.9200,77.2823573
15,0.190,0.07,30.73,0.9484,54.9642569
15,0.308,0.11,32.57,0.9710,35.9815909
15,0.503,0.19,34.85,0.9834,21.2853287
16,0.021,0.01,25.14,0.8249,199.1041723
16,0.032,0.01,26.21,0.8663,155.6253571
16,0.054,0.02,27.43,0.9049,117.5114975
16,0.086,0.03,28.59,0.9258,89.9664038
16,0.132,0.05,30.00,0.9511,65.0250000
16,0.211,0.08,31.53,0.9674,45.7172776
16,0.315,0.12,33.53,0.9809,28.8456521
16,0.479,0.18,35.59,0.9879,17.9506575
