image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,0.079,0.029,21.27,0.7429,485.3783052
00,0.127,0.047,22.49,0.8304,366.5053857
00,0.262,0.098,24.66,0.9169,222.3721325
00,0.389,0.145,25.88,0.9481,167.9114689
00,0.502,0.187,26.73,0.9623,138.0639711
00,0.855,0.318,28.84,0.9823,84.9337620
00,1.126,0.419,30.14,0.9884,62.9622676
01,0.042,0.016,25.67,0.7822,176.2302109
01,0.052,0.019,26.71,0.7946,138.7012455
01,0.087,0.032,29.78,0.8800,68.4038208
01,0.127,0.047,31.31,0.9278,48.0928330
01,0.173,0.064,32.05,0.9409,40.5583577
01,0.338,0.126,34.03,0.9719,25.7087145
01,0.491,0.183,35.18,0.9818,19.7278774
02,0.048,0.018,25.90,0.8227,167.1399858
02,0.061,0.023,26.89,0.8417,133.0700625
02,0.105,0.039,30.08,0.9146,63.8381600
02,0.153,0.057,31.58,0.9440,45.1939563
02,0.200,0.074,32.58,0.9588,35.8988355
02,0.350,0.130,34.86,0.9818,21.2363738
02,0.477,0.178,36.21,0.9887,15.5625357
03,0.049,0.018,25.21,0.7377,195.9207167
03,0.062,0.023,26.79,0.7911,136.1696624
03,0.116,0.043,29.55,0.8895,72.1240924
03,0.175,0.065,30.96,0.9296,52.1291161
03,0.233,0.087,31.92,0.9499,41.7907688
03,0.423,0.157,34.06,0.9774,25.5317369
03,0.585,0.218,35.26,0.9856,19.3678031
04,0.103,0.038,20.48,0.7862,582.2109388
04,0.168,0.063,21.88,0.8585,421.7745404
04,0.332,0.124,24.24,0.9352,244.9516453
04,0.475,0.177,25.61,0.9599,178.6818173
04,0.598,0.223,26.56,0.9717,143.5755078
04,0.973,0.362,28.94,0.9873,83.0004335
04,1.247,0.464,30.50,0.9919,57.9535923
05,0.059,0.022,22.50,0.7063,365.6624467
05,0.085,0.032,23.75,0.7856,274.2081514
05,0.188,0.070,25.89,0.8904,167.5252832
05,0.286,0.106,27.19,0.9322,124.1882081
05,0.375,0.140,28.10,0.9524,100.7118006
05,0.659,0.245,30.23,0.9787,61.6709106
05,0.877,0.326,31.64,0.9868,44.5738719
06,0.062,0.023,24.09,0.8271,253.5597768
06,0.092,0.034,25.81,0.8845,170.6398108
06,0.176,0.066,28.91,0.9442,83.5757651
06,0.224,0.083,30.58,0.9641,56.8958200
06,0.304,0.113,31.75,0.9750,43.4590632
06,0.487,0.181,34.28,0.9892,24.2705915
06,0.627,0.233,35.72,0.9930,17.4212920
07,0.141,0.052,20.17,0.8417,625.2883840
07,0.205,0.076,21.49,0.8863,461.4029436
07,0.359,0.134,23.66,0.9418,279.9499285
