image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,NA,0.046875,NA,NA,1078.24
01,NA,0.046875,NA,NA,345.523
02,NA,0.046875,NA,NA,419.748
03,NA,0.046875,NA,NA,208.518
04,NA,0.046875,NA,NA,1621.53
05,NA,0.046875,NA,NA,853.232
06,NA,0.046875,NA,NA,971.936
07,NA,0.046875,NA,NA,1945.15
08,NA,0.046875,NA,NA,792.931
09,NA,0.046875,NA,NA,214.133
10,NA,0.046875,NA,NA,1092.28
11,NA,0.046875,NA,NA,776.972
12,NA,0.046875,NA,NA,1033.2
13,NA,0.046875,NA,NA,1105.4
14,NA,0.046875,NA,NA,628.807
15,NA,0.046875,NA,NA,420.696
16,NA,0.046875,NA,NA,479.6
17,NA,0.046875,NA,NA,1206.08
18,NA,0.046875,NA,NA,899.243
19,NA,0.046875,NA,NA,1975.42
20,NA,0.046875,NA,NA,962.525
21,NA,0.046875,NA,NA,780.316
22,NA,0.046875,NA,NA,474.258
23,NA,0.046875,NA,NA,578.68
