image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,NA,0.046875,NA,NA,452.659
01,NA,0.046875,NA,NA,85.9498
02,NA,0.046875,NA,NA,85.6042
03,NA,0.046875,NA,NA,44.0788
04,NA,0.046875,NA,NA,735.765
05,NA,0.046875,NA,NA,428.718
06,NA,0.046875,NA,NA,248.586
07,NA,0.046875,NA,NA,585.625
08,NA,0.046875,NA,NA,114.347
09,NA,0.046875,NA,NA,54.279
10,NA,0.046875,NA,NA,478.928
11,NA,0.046875,NA,NA,148.593
12,NA,0.046875,NA,NA,575.6
13,NA,0.046875,NA,NA,405.679
14,NA,0.046875,NA,NA,147.46
15,NA,0.046875,NA,NA,149.623
16,NA,0.046875,NA,NA,132.368
17,NA,0.046875,NA,NA,439.363
18,NA,0.046875,NA,NA,459.896
19,NA,0.046875,NA,NA,240.731
20,NA,0.046875,NA,NA,353.493
21,NA,0.046875,NA,NA,261.067
22,NA,0.046875,NA,NA,106.345
23,NA,0.046875,NA,NA,201.107
