image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,NA,0.046875,NA,NA,1312.51
01,NA,0.046875,NA,NA,311.593
02,NA,0.046875,NA,NA,629.687
03,NA,0.046875,NA,NA,327.741
04,NA,0.046875,NA,NA,1513.98
05,NA,0.046875,NA,NA,1121.89
06,NA,0.046875,NA,NA,1017.85
07,NA,0.046875,NA,NA,2292.68
08,NA,0.046875,NA,NA,1452.92
09,NA,0.046875,NA,NA,297.448
10,NA,0.046875,NA,NA,1254.76
11,NA,0.046875,NA,NA,2035.26
12,NA,0.046875,NA,NA,1085.45
13,NA,0.046875,NA,NA,1404.43
14,NA,0.046875,NA,NA,853.041
15,NA,0.046875,NA,NA,608.743
16,NA,0.046875,NA,NA,729.347
17,NA,0.046875,NA,NA,854.492
18,NA,0.046875,NA,NA,1203.71
19,NA,0.046875,NA,NA,4524.62
20,NA,0.046875,NA,NA,1297.68
21,NA,0.046875,NA,NA,808.359
22,NA,0.046875,NA,NA,948.37
23,NA,0.046875,NA,NA,656.435
