image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,NA,0.5,NA,NA,81.617
01,NA,0.5,NA,NA,17.7422
02,NA,0.5,NA,NA,18.2827
03,NA,0.5,NA,NA,11.123
04,NA,0.5,NA,NA,105.749
05,NA,0.5,NA,NA,78.3334
06,NA,0.5,NA,NA,30.7128
07,NA,0.5,NA,NA,80.7178
08,NA,0.5,NA,NA,17.3547
09,NA,0.5,NA,NA,10.1726
10,NA,0.5,NA,NA,86.4646
11,NA,0.5,NA,NA,25.548
12,NA,0.5,NA,NA,143.473
13,NA,0.5,NA,NA,55.8628
14,NA,0.5,NA,NA,30.1281
15,NA,0.5,NA,NA,27.488
16,NA,0.5,NA,NA,20.5108
17,NA,0.5,NA,NA,93.9804
18,NA,0.5,NA,NA,47.5808
19,NA,0.5,NA,NA,42.1122
20,NA,0.5,NA,NA,60.7736
21,NA,0.5,NA,NA,39.9644
22,NA,0.5,NA,NA,15.7369
23,NA,0.5,NA,NA,38.6619
