image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,NA,0.5,NA,NA,117.233
01,NA,0.5,NA,NA,24.4875
02,NA,0.5,NA,NA,25.4227
03,NA,0.5,NA,NA,14.1277
04,NA,0.5,NA,NA,155.33
05,NA,0.5,NA,NA,116.379
06,NA,0.5,NA,NA,46.038
07,NA,0.5,NA,NA,114.382
08,NA,0.5,NA,NA,23.0398
09,NA,0.5,NA,NA,12.5189
10,NA,0.5,NA,NA,125.833
11,NA,0.5,NA,NA,35.3621
12,NA,0.5,NA,NA,199.163
13,NA,0.5,NA,NA,81.4039
14,NA,0.5,NA,NA,42.8342
15,NA,0.5,NA,NA,40.3434
16,NA,0.5,NA,NA,29.9149
17,NA,0.5,NA,NA,126.668
18,NA,0.5,NA,NA,69.6152
19,NA,0.5,NA,NA,57.8559
20,NA,0.5,NA,NA,88.4512
21,NA,0.5,NA,NA,58.3004
22,NA,0.5,NA,NA,21.4251
23,NA,0.5,NA,NA,49.7857
