image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,NA,0.1171875,NA,NA,1001.78
01,NA,0.1171875,NA,NA,165.039
02,NA,0.1171875,NA,NA,198.651
03,NA,0.1171875,NA,NA,91.4033
04,NA,0.1171875,NA,NA,1537.61
05,NA,0.1171875,NA,NA,687.847
06,NA,0.1171875,NA,NA,592.485
07,NA,0.1171875,NA,NA,1436.03
08,NA,0.1171875,NA,NA,387.132
09,NA,0.1171875,NA,NA,94.9834
10,NA,0.1171875,NA,NA,964.254
11,NA,0.1171875,NA,NA,432.898
12,NA,0.1171875,NA,NA,884.18
13,NA,0.1171875,NA,NA,830.742
14,NA,0.1171875,NA,NA,358.572
15,NA,0.1171875,NA,NA,260.594
16,NA,0.1171875,NA,NA,266.845
17,NA,0.1171875,NA,NA,868.645
18,NA,0.1171875,NA,NA,891.482
19,NA,0.1171875,NA,NA,932.147
20,NA,0.1171875,NA,NA,680.032
21,NA,0.1171875,NA,NA,609.716
22,NA,0.1171875,NA,NA,251.756
23,NA,0.1171875,NA,NA,432.633
