image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,NA,0.1171875,NA,NA,292.888
01,NA,0.1171875,NA,NA,57.9346
02,NA,0.1171875,NA,NA,63.1345
03,NA,0.1171875,NA,NA,31.6343
04,NA,0.1171875,NA,NA,468.191
05,NA,0.1171875,NA,NA,301.386
06,NA,0.1171875,NA,NA,137.151
07,NA,0.1171875,NA,NA,352.603
08,NA,0.1171875,NA,NA,64.3936
09,NA,0.1171875,NA,NA,31.248
10,NA,0.1171875,NA,NA,325.821
11,NA,0.1171875,NA,NA,102.317
12,NA,0.1171875,NA,NA,437.617
13,NA,0.1171875,NA,NA,245.945
14,NA,0.1171875,NA,NA,104.46
15,NA,0.1171875,NA,NA,109.735
16,NA,0.1171875,NA,NA,81.924
17,NA,0.1171875,NA,NA,294.27
18,NA,0.1171875,NA,NA,250.697
19,NA,0.1171875,NA,NA,160.545
20,NA,0.1171875,NA,NA,241.367
21,NA,0.1171875,NA,NA,158.641
22,NA,0.1171875,NA,NA,70.3247
23,NA,0.1171875,NA,NA,134.515
