image_number,bits_per_pixel,mem_per_pixel,PSNR,MS-SSIM,MSE
00,NA,0.1171875,NA,NA,1370.08
01,NA,0.1171875,NA,NA,345.215
02,NA,0.1171875,NA,NA,668.059
03,NA,0.1171875,NA,NA,343.434
04,NA,0.1171875,NA,NA,1691.85
05,NA,0.1171875,NA,NA,1183.32
06,NA,0.1171875,NA,NA,1055.08
07,NA,0.1171875,NA,NA,2424.74
08,NA,0.1171875,NA,NA,1509.46
09,NA,0.1171875,NA,NA,310.698
10,NA,0.1171875,NA,NA,1320.95
11,NA,0.1171875,NA,NA,2073.49
12,NA,0.1171875,NA,NA,1122.98
13,NA,0.1171875,NA,NA,1463.58
14,NA,0.1171875,NA,NA,915.675
15,NA,0.1171875,NA,NA,627.151
16,NA,0.1171875,NA,NA,756.101
17,NA,0.1171875,NA,NA,962.593
18,NA,0.1171875,NA,NA,1239.26
19,NA,0.1171875,NA,NA,4549.06
20,NA,0.1171875,NA,NA,1348.04
21,NA,0.1171875,NA,NA,879.283
22,NA,0.1171875,NA,NA,967.039
23,NA,0.1171875,NA,NA,690.021
